idx,main_speaker,title,details,posted,url,num_views
d564abb00bb146ff75c7ed2d9b48aadc,Elisabeth Pierre,Et si la bière était féminine ? | Elisabeth Pierre | TEDxToulouse,"Cette présentation a été faite lors d'un événement TEDx local, produit indépendamment des conférences TED.

Elisabeth Pierre est passionnée des bières et connaît toutes les facettes de sa boisson préférée. Elle aime aussi casser les stéréotypes et montre combien la bière est en fait plus féminine que masculine. 

Elisabeth est zythologue, une des quelques femmes experte en bière. Son travail et ses recherches avec des producteurs, chercheurs et cuisiniers ainsi que ses conférences et ses programmes de développement en font une référence sur le sujet. Une grande part de son message insiste sur le lien fort entre la bière et les femmes au travers des siècles.",Posted Mar 2020,https://www.ted.com/talks/elisabeth_pierre_l_histoire_inedite_des_femmes_a_l_origine_de_la_biere,0
9d3f203c5a8a124ec5a1b21fe3ad1842,Alicia Malone,The overlooked legacy of Hollywood's first female directors,"The perspectives movies are told from filter into our life choices, personal philosophies and very identities. Film journalist Alicia Malone tells the forgotten stories of Hollywood's very first female directors to illustrate how a diversity in cinema could benefit us all.",Posted Mar 2020,https://www.ted.com/talks/alicia_malone_the_overlooked_legacy_of_hollywood_s_first_female_directors,"18,501"
c8a830e0143916293557b7276958ac48,Kathy Kleiman,The pioneering women who helped create modern computing,"In this eye-opening talk, digital rights expert Kathy Kleiman describes her efforts to uncover the hidden story behind an old photograph she found as an undergraduate researcher. Despite showing both men and women working on the groundbreaking Electronic Numerical Integrator and Computer (ENIAC) in 1946, the caption only named the men. What followed for Kleiman was a years-long journey to locate and celebrate the achievements of these pioneering women - ENIAC's first programmers.",Posted Mar 2020,https://www.ted.com/talks/kathy_kleiman_the_pioneering_women_who_helped_create_modern_computing,0
f5ae6143fa79ba55deb5e9e720b4c681,Seth Berkley,The quest for the coronavirus vaccine,"When will the coronavirus vaccine be ready? Epidemiologist Seth Berkley (head of Gavi, the Vaccine Alliance) takes us inside the effort to create a vaccine for COVID-19. With clarity and urgency, he explains what makes it so challenging to develop, when we can expect it to be rolled out at scale and why we'll need global collaboration to get it done. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 26, 2020)",Posted Mar 2020,https://www.ted.com/talks/seth_berkley_the_quest_for_the_coronavirus_vaccine,"240,914"
0cdccbb0c544e4909e1b4716f52f2280,Hindou Oumarou Ibrahim,Indigenous knowledge meets science to solve climate change,"To tackle a problem as large as climate change, we need both science and Indigenous wisdom, says environmental activist Hindou Oumarou Ibrahim. In this engaging talk, she shares how her nomadic community in Chad is working closely with scientists to restore endangered ecosystems -- and offers lessons on how to create more resilient communities.",Posted Mar 2020,https://www.ted.com/talks/hindou_oumarou_ibrahim_indigenous_knowledge_meets_science_to_solve_climate_change,"395,372"
2b48856a1e68b1deaae63aa0eea7b7e9,Gary Liu,What the world can learn from China's response to the coronavirus,"From Hong Kong, South China Morning Post CEO Gary Liu tracks China's response to the coronavirus pandemic -- from the initial outbreak in Wuhan to the shutdown of Hubei province and the containment measures taken across its major cities. Sharing insights into how the culture in places like Hong Kong and South Korea contributed to fast action against the virus, Liu identifies lessons people across the world can use to stop its spread. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 25, 2020)",Posted Mar 2020,https://www.ted.com/talks/gary_liu_what_the_world_can_learn_from_china_s_response_to_the_coronavirus,"889,330"
50e3e579db0eef68a893b76b8199cf81,Anees Bahji,What is schizophrenia?,"Schizophrenia was first identified more than a century ago, but we still don't know its exact causes. It remains one of the most misunderstood and stigmatized illnesses today. So what do we actually know about its symptoms, causes, and treatments? Anees Bahji investigates. [Directed by Artrake Studio, narrated by Susan Zimmerman, music by Stephen LaRosa].",Posted Mar 2020,https://www.ted.com/talks/anees_bahji_what_is_schizophrenia,"447,410"
66dccf5471154abd3be663c350d5efe2,Noeline Kirabo,2 questions to uncover your passion — and turn it into a career,What's your passion? Social entrepreneur Noeline Kirabo reflects on her work helping out-of-school young people in Uganda turn their passions into profitable businesses -- and shares the two questions you can ask yourself to begin doing the same.,Posted Mar 2020,https://www.ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career,"667,773"
801e86946c2329fd5726edc0bb3e963d,Bill Gates,How we must respond to the coronavirus pandemic,"Philanthropist and Microsoft cofounder Bill Gates offers insights into the COVID-19 pandemic, discussing why testing and self-isolation are essential, which medical advancements show promise and what it will take for the world to endure this crisis. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 24, 2020)",Posted Mar 2020,https://www.ted.com/talks/bill_gates_how_we_must_respond_to_the_coronavirus_pandemic,"4,164,924"
7d12cb15860436be16912357f0be08a2,Johanna Figueira,"Simple, effective tech to connect communities in crisis","The world is more connected than ever, but some communities are still cut off from vital resources like electricity and health care. In this solution-oriented talk, tech activist Johanna Figueira discusses her work with Code for Venezuela -- a platform that helps Venezuelans gain access to vital information and medical supplies -- and shares ideas for how it could be used as a model to help other communities in need.",Posted Mar 2020,https://www.ted.com/talks/johanna_figueira_simple_effective_tech_to_connect_communities_in_crisis,"499,870"
d068844107e5598a288ae47bfec0f2b2,Stefan Al,Why isn't the Netherlands underwater?,"In January 1953, a tidal surge shook the North Sea. The titanic waves flooded the Dutch coastline, killing almost 2,000 people. 54 years later, a similar storm threatened the region. But this time, they were ready. This was thanks to a massive, interlocking system known as the Delta Works— the most sophisticated flood prevention project in the world. Stefan Al dives into this marvel of engineering. [Directed by JodyPrody, narrated by Addison Anderson, music by André Aires / AIM Creative Studios].",Posted Mar 2020,https://www.ted.com/talks/stefan_al_why_isn_t_the_netherlands_underwater,"467,320"
3662a6a374fcea54ec738d033b39d82f,David Lindell,A camera that can see around corners,"To work safely, self-driving cars must avoid obstacles -- including those just out of sight. And for this to happen, we need technology that sees better than humans can, says electrical engineer David Lindell. Buckle up for a quick, groundbreaking tech demo as Lindell explains the significant and versatile potential of a high-speed camera that can detect objects hidden around corners.",Posted Mar 2020,https://www.ted.com/talks/david_lindell_a_camera_that_can_see_around_corners,"66,079"
cc20b7b4de317a6f4059bd6feb079334,Susan David,How to be your best self in times of crisis,"""Life's beauty is inseparable from its fragility,"" says psychologist Susan David. In a special virtual conversation, she shares wisdom on how to build resilience, courage and joy in the midst of the coronavirus pandemic. Responding to listeners' questions from across the globe, she offers ways to talk to your children about their emotions, keep focus during the crisis and help those working on the front lines. (This virtual conversation is part of the TED Connects series, hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers. Recorded March 23, 2020)",Posted Mar 2020,https://www.ted.com/talks/susan_david_how_to_be_your_best_self_in_times_of_crisis,"819,219"
